                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.80363,                0.38685,                0.93417,                0.99486,                0.92857,                0.98534,                0.76258,                0.89619,                0.33896,                 1.0559,              0.0073666,              0.0073666,              0.0073666
                    136,                0.80111,                 0.3858,                0.93045,                0.99753,                0.93076,                0.98507,                0.76457,                0.89342,                0.34369,                 1.0574,              0.0073468,              0.0073468,              0.0073468
                    137,                0.80449,                0.38894,                0.93291,                0.99259,                0.92638,                0.98438,                0.76324,                0.88957,                0.34441,                 1.0576,               0.007327,               0.007327,               0.007327
                    138,                0.80202,                0.38535,                0.92733,                0.99507,                0.92996,                0.98533,                0.76705,                0.89057,                0.34368,                 1.0563,              0.0073072,              0.0073072,              0.0073072
                    139,                0.80373,                0.38497,                0.92961,                0.99021,                0.93254,                0.98492,                0.76173,                0.88503,                0.34109,                 1.0511,              0.0072874,              0.0072874,              0.0072874
                    140,                0.80344,                0.39049,                 0.9352,                0.99192,                0.93088,                0.98436,                 0.7601,                 0.8867,                0.34488,                 1.0518,              0.0072676,              0.0072676,              0.0072676
                    141,                  0.806,                0.39181,                0.93471,                0.99753,                0.93095,                0.98396,                0.76126,                 0.8859,                0.34271,                 1.0548,              0.0072478,              0.0072478,              0.0072478
                    142,                0.79621,                0.38344,                0.92057,                0.99641,                0.92857,                0.98352,                0.76171,                0.88667,                0.34562,                 1.0571,               0.007228,               0.007228,               0.007228
                    143,                0.79556,                0.38455,                0.92507,                0.99261,                0.92825,                 0.9804,                0.75873,                0.88706,                0.34085,                 1.0532,              0.0072082,              0.0072082,              0.0072082
                    144,                0.79057,                0.37944,                0.92745,                0.97989,                0.94009,                0.98251,                0.76458,                0.88107,                0.34257,                 1.0483,              0.0071884,              0.0071884,              0.0071884
                    145,                0.78751,                0.37952,                0.92592,                0.99506,                0.92786,                0.98397,                0.76747,                0.88068,                0.33847,                 1.0506,              0.0071686,              0.0071686,              0.0071686
                    146,                0.78366,                0.38009,                0.92691,                0.99607,                0.92627,                0.98595,                0.76444,                0.88537,                 0.3384,                 1.0564,              0.0071488,              0.0071488,              0.0071488
                    147,                0.78935,                0.38029,                0.92711,                0.97381,                0.94253,                0.98416,                0.76347,                0.88895,                 0.3381,                 1.0564,               0.007129,               0.007129,               0.007129
                    148,                 0.7755,                0.37461,                0.92019,                0.97611,                 0.9415,                0.98433,                0.76801,                0.88824,                0.33963,                 1.0573,              0.0071092,              0.0071092,              0.0071092
                    149,                 0.7892,                0.37971,                0.92796,                0.99503,                0.92196,                0.98205,                0.76639,                0.88818,                0.34122,                 1.0579,              0.0070894,              0.0070894,              0.0070894
                    150,                0.78111,                0.38053,                 0.9229,                      1,                0.92588,                0.98625,                0.76918,                0.88758,                0.34296,                 1.0569,              0.0070696,              0.0070696,              0.0070696
                    151,                0.77906,                0.37674,                0.92356,                0.99504,                0.92392,                0.98499,                0.76973,                0.88908,                0.34253,                 1.0606,              0.0070498,              0.0070498,              0.0070498
                    152,                0.77387,                 0.3712,                0.91795,                0.97263,                 0.9424,                0.98417,                0.76645,                0.88966,                0.34074,                 1.0652,                0.00703,                0.00703,                0.00703
